SWIS Number ,Site Name,Activity,Activity Is Archived,OperationalStatus,RegulatoryStatus,Category,Activity Classification,WDRNo,WDR Landfill Class,Cease Operation,Cease Operation Type,Inspection Frequency,Throughput,ThroughputUnits,RemainingCapacity,Remaining Capacity Date,Capacity,CapacityUnits,Total Acreage,DisposalAcreage,Permitted Elevation,Permitted Elevation Type,Permitted Depth,Permitted Depth Type,Point of Contact,Site Operational Status,Site Regulatory Status,Site Is Archived,IsClosedIllegalAbandoned,IsSiteInertDebrisEngineeredFill,IsFinancialAssurancesResponsible,Absorbed On,Absorbed By,ClosedIllegalAbandonedCategory,EPA Federal Registry ID,Latitude,Longitude,Site ZIP Code,County,ARB District,SWRCB Region,Local Government,Street Address,City,State,ZIP Code,Reporting Agency Legal Name,Reporting Agency Department,Enforcing Agency Legal Name,Enforcing Agency Department
33-AA-0368,Pro Landscaping Inc.,Green Material Composting Operation ,No,Active,Notification,Composting,Solid Waste Operation,,,,,Quarterly,30,Tons per day,,,2000,Tons per year,2,,,,,,Theodore Tasiopoulos,Active,Notification,No,No,No,No,,,,,33.83147,-116.38077,92276,Riverside,South Coast,Colorado River,Riverside County (Unincorporated),73400 30th Avenue,Thousand Palms,CA,92276,County of Riverside,Department of Environmental Health,County of Riverside,Department of Environmental Health
54-AA-0063,Slover Bros Trucking Inc.,Agricultural Material Composting Operation,No,Active,Notification,Composting,Solid Waste Operation,,,,,Quarterly,500,Tons per day,,,30000,Tons per year,5,,,,,,Joy Isaacson,Active,Notification,No,No,No,No,,,,,36.24034,-119.24284,93274,Tulare,San Joaquin Valley Unified,Central Valley,Tulare,North of Ave. 248 East Side of Road 148,Tulare,CA,93274,County of Tulare,"Department of Health Services,  Division of Environmental Health",County of Tulare,"Department of Health Services,  Division of Environmental Health"
38-AA-0026,Ortiz Trucking,Small Volume CDI Debris Processing Operation,No,Closed,Notification,Transfer/Processing,Solid Waste Operation,,,,,None,25,Tons per day,,,,,,,,,,,Harprit Mattu,Closed,Notification,No,No,No,No,,,,,37.7261,-122.38456,94124,San Francisco,Bay Area,San Francisco Bay,San Francisco,1230 Underwood Avenue,San Francisco,CA,94124,County of San Francisco,"Department of Public Health,  Environmental Health Branch",County of San Francisco,"Department of Public Health,  Environmental Health Branch"
49-AA-0437,Temporary Emergency Transfer Station #8,Emergency Transfer/Processing Operation,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation,,,,,None,200,Tons per day,,,,,0.5,,,,,,Alyssa Williams,Inactive,Notification,No,No,No,No,,,,,38.51424,-122.99614,95471,Sonoma,Northern Sonoma,North Coast,Sonoma County (Unincorporated),14900 Armstrong Woods Rd.,Guerneville,CA,95471,County of Sonoma,"Department of Health Services,  Environmental Health & Safety Section",County of Sonoma,"Department of Health Services,  Environmental Health & Safety Section"
01-CR-0053,Singh Harwinder Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,,,,,,,Sabra Ambrose,Closed,Unpermitted,No,No,No,No,,,,,37.51,-122.01454,94560,Alameda,Bay Area,San Francisco Bay,Newark,7580 Mowry Ave,Newark,CA,94560,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
15-AA-0411,Buttonwillow Transfer Station,Limited Volume Transfer Operation,No,Inactive,Notification,Transfer/Processing,Solid Waste Operation,,,,,None,15,Tires per day,,,,,,,,,,,Christine Karl,Inactive,Notification,No,No,No,No,,,,,35.41278,-119.46811,93206,Kern,San Joaquin Valley Unified,Central Valley,Kern County (Unincorporated),41751 Sullivan Road,Buttonwillow,CA,93206,County of Kern,Environmental Health Division,County of Kern,Environmental Health Division
36-AA-0501,Limoneira Agromin Ag Material Compost Op,Agricultural Material Composting Operation,No,Planned,Notification,Composting,Solid Waste Operation,,,,,Quarterly,12500,Cubic Yards,,,300000,Cubic Yards per year,10,,,,,,Megan Emslander,Planned,Notification,No,No,No,No,,,,,34.53972,-115.52655,92322,San Bernardino,Mojave Desert,Colorado River,San Bernardino,Highway 66 near Chambless,San Bernardino,CA,92322,County of San Bernardino,Div. of Environmental Health Services,County of San Bernardino,Div. of Environmental Health Services
34-CR-0010,Mooney Road Illegal Landfill,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,None,,,,,,,,,,,,,Dawn Liang,Closed,Unpermitted,No,No,No,No,,,,,38.42006,-121.27899,95624,Sacramento,Sacramento Metro,Central Valley,Elk Grove,0 Mooney Road,Elk Grove,CA,95624,County of Sacramento,"Environmental Management Department,  Environmental Compliance Division",County of Sacramento,"Environmental Management Department,  Environmental Compliance Division"
23-AA-0053,Pacific Organic Solutions,Composting Facility (Mixed),No,Planned,Permitted,Composting,Solid Waste Facility,,,,,None,175,Tons per day,,,50000,Tons per year,,,,,,,Christine Karl,Planned,Permitted,No,No,No,No,,,,,39.1115,-123.19347,122,Mendocino,Mendocino,North Coast,Ukiah,3201 Taylor Drive,Ukiah,CA,122,County of Mendocino,"Public Health Department,  Division of Environmental Health",County of Mendocino,"Public Health Department,  Division of Environmental Health"
49-AA-0442,Atlas Tree Processing Yard,Chipping and Grinding Facility/Operation,No,Active,Notification,Composting,Solid Waste Facility,,,,,Quarterly,200,Tons per day,,,72999,Tons per year,0.8,,,,,,Alyssa Williams,Active,Notification,No,No,No,No,,,,,38.52237,-122.7909,95492,Sonoma,Bay Area,North Coast,Windsor,5900 Pruitt Ave.,Windsor,CA,95492,County of Sonoma,"Department of Health Services,  Environmental Health & Safety Section",County of Sonoma,"Department of Health Services,  Environmental Health & Safety Section"
19-AA-1149,Burbank Recycle Center,Large Volume Transfer/Processing Facility,No,Active,Proposed,Transfer/Processing,Solid Waste Facility,,,,,Monthly,5000,Tons per day,,,,,,,,,,,Nai Teurn,Active,Proposed,No,No,No,No,,,,,34.17537,-118.308,91502,Los Angeles,South Coast,Los Angeles,Burbank,500 S Flower Street,Burbank,CA,91502,County of Los Angeles,Department of Public Health,County of Los Angeles,Department of Public Health
28-CR-0005,Basalt Rock Dumpsite,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,,,,,,,Abel Martinez-Centeno,Closed,Unpermitted,No,No,No,No,,,,,38.26458,-122.26488,94559,Napa,Bay Area,San Francisco Bay,Napa,1 Basalt Road,Napa,CA,94559,County of Napa,"Planning Building & Environmt'l Services,  Local Enforcement Agency",County of Napa,"Planning Building & Environmt'l Services,  Local Enforcement Agency"
50-AA-0054,Midland Demolition,Chipping and Grinding Facility/Operation,No,Active,Notification,Composting,Solid Waste Facility,,,,,Quarterly,220,Tons per day,,,,,4,,,,,,Justin Vlach,Active,Notification,No,No,No,No,,,,,37.55088,-120.83652,95326,Stanislaus,San Joaquin Valley Unified,Central Valley,Hughson,8530 E Keyes Road,Hughson,CA,95326,County of Stanislaus,--,Department of Resources Recycling and Recovery,"Waste Permitting, Compliance and Mitigation Division"
01-AA-0007,Davis Street Transfer Station,Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,5600,Tons,,,9600,Tons per day,53.8,,,,,,Alyssa Williams,Active,Permitted,No,No,No,No,,,,,37.71225,-122.19372,94577,Alameda,Bay Area,San Francisco Bay,San Leandro,2615 Davis St,San Leandro,CA,94577,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
01-AA-0007,Davis Street Transfer Station,Large Volume In-Vessel Digestion Facility,No,Active,Permitted,In-Vessel Digestion,Solid Waste Facility,,,,,Monthly,350,Tons per day,,,350,Tons per day,53.8,,,,,,Alyssa Williams,Active,Permitted,No,No,No,No,,,,,37.71225,-122.19372,94577,Alameda,Bay Area,San Francisco Bay,San Leandro,2615 Davis St,San Leandro,CA,94577,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
01-AA-0008,Tri Cities Recycling & Disposal Fac,Small Volume C&D Wood Debris Chipping and Grinding Operation,No,Closed,Permitted,Transfer/Processing,Solid Waste Operation,,,,,None,,,,,,,,,,,,,"Frank Davies, Jr.",Closed,Permitted,No,Yes,No,Yes,,,B2,1.10003E+11,37.49277,-121.99229,94538,Alameda,Bay Area,San Francisco Bay,Fremont,7010 Auto Mall Pkwy,Fremont,CA,94538,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
01-AA-0008,Tri Cities Recycling & Disposal Fac,Solid Waste Landfill,No,Closed,Permitted,Disposal,Solid Waste Facility,,"II,III",12/1/2008,Estimated,Quarterly,2346,Tons per day,880000,12/22/2006,19271000,Cubic Yards,225,115,150,MSL,,,"Frank Davies, Jr.",Closed,Permitted,No,Yes,No,Yes,,,B2,1.10003E+11,37.49277,-121.99229,94538,Alameda,Bay Area,San Francisco Bay,Fremont,7010 Auto Mall Pkwy,Fremont,CA,94538,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
01-AA-0008,Tri Cities Recycling & Disposal Fac,Inert Debris Type A and B Processing Facility,No,Closed,Permitted,Transfer/Processing,Solid Waste Facility,,,,,None,,,,,,,,,,,,,"Frank Davies, Jr.",Closed,Permitted,No,Yes,No,Yes,,,B2,1.10003E+11,37.49277,-121.99229,94538,Alameda,Bay Area,San Francisco Bay,Fremont,7010 Auto Mall Pkwy,Fremont,CA,94538,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
01-CR-0026,Sandia National Labs Navy LF,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1960,Estimated,Annual,,,,,,,0,0,,,,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C1,,37.69194,-121.70389,94550,Alameda,Bay Area,San Francisco Bay,Livermore,7011 East Ave,Livermore,CA,94550,County of Alameda,Department of Environmental Health,County of Alameda,Department of Environmental Health
02-CR-0002,Grover Hot Springs,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Dawn Liang,Closed,Pre-regulation,No,Yes,No,No,,,C2,,38.41546,-119.49206,96120,Alpine,Great Basin Unified,Lahontan,Alpine County (Unincorporated),3415 Hot Springs Rd.,Grover Hot Springs,CA,96120,County of Alpine,"Alpine County Health Department,  Environmental Health Services",County of Alpine,"Alpine County Health Department,  Environmental Health Services"
02-CR-0004,Turtle Rock Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Dawn Liang,Closed,Pre-regulation,No,Yes,No,No,,,C2,,38.72419,-119.8019,96120,Alpine,Great Basin Unified,Lahontan,Alpine County (Unincorporated),Markleeville Hwy,Markleeville,CA,96120,County of Alpine,"Alpine County Health Department,  Environmental Health Services",County of Alpine,"Alpine County Health Department,  Environmental Health Services"
03-CR-0007,Plymouth City-County Dump,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/31/1974,Estimated,None,,,,,,,0,0,,,,,Sabra Ambrose,Closed,Unpermitted,No,Yes,No,No,,,C1,,38.48667,-120.86667,95669,Amador,Amador,Central Valley,Plymouth,T7nr10e Sec 3 Lft Bend Of Old Oaker Road,Plymouth,CA,95669,County of Amador,Environmental Health Department,County of Amador,Environmental Health Department
03-CR-0010,Volcano County Dump,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,None,,,,,,,0,0,,,,,Sabra Ambrose,Closed,Unpermitted,No,Yes,No,No,,,C3,,38.46653,-120.62722,95689,Amador,Amador,Central Valley,Amador County (Unincorporated),Ram`s Horn Grade 2 Mi Fr Volcano,Volcano,CA,95689,County of Amador,Environmental Health Department,County of Amador,Environmental Health Department
04-AC-0020,Chico Greenwaste Composting Facility,Green Material Composting Operation ,No,Active,Notification,Composting,Solid Waste Operation,,,,,Quarterly,725,Cubic Yards per Day,,,7500,Cubic Yards per year,24,,,,,,Eric Kiruja,Active,Notification,No,No,No,No,,,,,39.78861,-121.84639,95973,Butte,Butte,Central Valley,Chico,Chico Muni Airport; End Of Cohasset Rd,Chico,CA,95973,County of Butte,Public Health Department,County of Butte,Public Health Department
04-CR-0014,Bald Rock Road Dump,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Unpermitted,No,Yes,No,No,,,C2,,39.64756,-121.42433,95916,Butte,Butte,Central Valley,Butte County (Unincorporated),0.25 mi from Oro - Quincy Hwy,Berry Creek,CA,95916,County of Butte,Public Health Department,County of Butte,Public Health Department
05-AA-0021,South Camanche Shore Burn Dump          ,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/31/1984,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Unpermitted,No,Yes,No,No,,,C1,,38.205,-120.95833,95252,Calaveras,Calaveras,Central Valley,Calaveras County (Unincorporated),"9958 S Camanche Pkwy, Off St Rte 12",Wallace,CA,95252,County of Calaveras,"Environmental Management Agency,  Environmental Health Department",County of Calaveras,"Environmental Management Agency,  Environmental Health Department"
05-CR-0012,U.S. Big Meadows/U.S. Forest Service    ,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,1/1/1960,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C1,,38.415,-120.09833,95223,Calaveras,Calaveras,Central Valley,Calaveras County (Unincorporated),"Usfs Rd 7n02, 1/2 Mi S Fr Hwy 4",Big Meadow,CA,95223,County of Calaveras,"Environmental Management Agency,  Environmental Health Department",County of Calaveras,"Environmental Management Agency,  Environmental Health Department"
06-CR-0003,Maxwell Landfill,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Permitted,No,Yes,No,No,,,C2,,39.26167,-122.19333,95955,Colusa,Colusa,Central Valley,Colusa County (Unincorporated),5852 Hwy 99 1/2 Mi S/O Maxwell,Maxwell,CA,95955,County of Colusa,"Community Development Department,  Environmental Health Division",County of Colusa,"Community Development Department,  Environmental Health Division"
06-CR-0004,Lurline Dump,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,C2,,39.21858,-122.07361,95932,Colusa,Colusa,Central Valley,Colusa,Lurline Ave 2.5 Mi W/O Colusa,Colusa,CA,95932,County of Colusa,"Community Development Department,  Environmental Health Division",County of Colusa,"Community Development Department,  Environmental Health Division"
07-AA-0027,Contra Costa TS And Recovery,Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,1900,Tons per day,,,1900,Tons per day,19,,,,,,Harprit Mattu,Active,Permitted,No,No,No,No,,,,,38.0179,-122.08457,94553,Contra Costa,Bay Area,San Francisco Bay,Martinez,951 Waterbird Way,Martinez,CA,94553,County of Contra Costa,"Health Services Department,  Environmental Health Division",County of Contra Costa,"Health Services Department,  Environmental Health Division"
07-CR-0005,Antioch Disposal Svc LF - Lynch Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,4/1/1997,Actual,Quarterly,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Unpermitted,No,Yes,No,No,,,C1,,37.98417,-121.85255,94509,Contra Costa,Bay Area,Central Valley,Antioch,Somersville Rd.Se Corner & Paso Corto Rd,Antioch,CA,94509,County of Contra Costa,"Health Services Department,  Environmental Health Division",County of Contra Costa,"Health Services Department,  Environmental Health Division"
07-CR-0041,Banks Pumping Plant Waste Fill,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/1/1981,Actual,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Unpermitted,No,Yes,No,No,,,D,,37.80301,-121.61453,94514,Contra Costa,Bay Area,Central Valley,Contra Costa County (Unincorporated),5280 Bruns Rd,Byron,CA,94514,County of Contra Costa,"Health Services Department,  Environmental Health Division",County of Contra Costa,"Health Services Department,  Environmental Health Division"
08-CR-0004,Fort Dick Burn Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/31/1975,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,C2,,41.86778,-124.19722,95531,Del Norte,North Coast Unified,North Coast,Del Norte County (Unincorporated),Kellog Rd 1/2 Mi W/O Lower Lake Rd,Fort Dick,CA,95531,County of Del Norte,Community Development Department,County of Del Norte,Community Development Department
08-CR-0007,Arcata Redwood DS #3/Woodwaste D S,Wood Waste Disposal Site,No,Closed,Unpermitted,Disposal,Solid Waste Facility,,,,,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,D,,41.93722,-124.13917,95811,Del Norte,North Coast Unified,North Coast,Del Norte County (Unincorporated),1/2 Mi N/O Rowdy Creek Rd X Hwy 101,Smith River,CA,95811,County of Del Norte,Community Development Department,County of Del Norte,Community Development Department
10-AA-0018,Rice Road Disposal Site,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Permitted,No,Yes,No,No,,,C2,,36.88917,-119.779,93720,Fresno,San Joaquin Valley Unified,Central Valley,Fresno,10463 North Rice Rd @ Nw Cor Lanes Rd,Fresno,CA,93720,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-AA-0022,Kamm Disposal,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Quarterly,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Unpermitted,No,Yes,No,No,,,C2,,36.53173,-119.58208,93631,Fresno,San Joaquin Valley Unified,Central Valley,Kingsburg,11635 E Kamm Ave,Kingsburg,CA,93631,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-AA-0171,Jefferson Avenue Transfer Station,Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,1250,Tons per day,,,3500,Tons per day,5.7,,,,,,Kate Whitney,Active,Permitted,No,No,No,No,,,,,36.65453,-119.7125,93725,Fresno,San Joaquin Valley Unified,Central Valley,Fresno,5608 S Villa Ave,Fresno,CA,93725,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-AA-0172,Jefferson Inert Debris ENG Fill Op,Inert Debris Engineered Fill Operation,No,Active,Notification,Disposal,Solid Waste Operation,,,,,Quarterly,50,Tons per day,,,10000,Tons per year,14,14,,,,,Kate Whitney,Active,Notification,No,No,Yes,No,,,,,36.65552,-119.7435,93725,Fresno,San Joaquin Valley Unified,Central Valley,Fresno,5550 S Maple Ave,Fresno,CA,93725,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0004,Kash Inc/Parlier Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C1,,36.61825,-119.53911,93648,Fresno,San Joaquin Valley Unified,Central Valley,Parlier,S/O E South Av W/O Newmark N/ Parlier Av,Parlier,CA,93648,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0005,Burlington Northern Santa Fe DS,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C2,,36.67795,-119.73455,93725,Fresno,San Joaquin Valley Unified,Central Valley,Fresno,2989 S Golden State Blvd,Fresno,CA,93725,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0023,City of Firebaugh Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C1,,36.5241,-120.27802,93622,Fresno,San Joaquin Valley Unified,Central Valley,Firebaugh,7th & Poso Canal Rd,Firebaugh,CA,93622,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0056,M.D. Wesson Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1974,Estimated,Quarterly,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,D,,36.71463,-119.82548,93706,Fresno,San Joaquin Valley Unified,Central Valley,Fresno,NE Cor W. Church Ave/S. West Ave,Fresno,CA,93706,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
11-AA-0003,Lp Elk Creek Woodwaste Site             ,Wood Waste Disposal Site,No,Closed,Permitted,Disposal,Solid Waste Facility,,,12/31/1972,Estimated,Annual,,,,,,,0,0,,,,,Sabra Ambrose,Closed,Permitted,No,Yes,No,No,,,D,,39.605,-122.55667,95939,Glenn,Glenn,Central Valley,Glenn County (Unincorporated),.2 Mi S/O Co Rd 308 0.8 Mi W Co Rd 306,Elk Creek,CA,95939,County of Glenn,Dept of  Environmental Health,County of Glenn,Dept of  Environmental Health
12-AA-0002,Blocksburg Container Site,Limited Volume Transfer Operation,No,Active,Notification,Transfer/Processing,Solid Waste Operation,,,,,Quarterly,1,Tons per day,,,60,Tons per year,,,,,,,Eric Kiruja,Active,Notification,No,No,No,No,,,,,40.27056,-123.62528,95514,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),Alderpoint Rd; 2 Mi Se Blocksburg,Blocksburg,CA,95514,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-AA-0022,Table Bluff Landfill,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,,12/31/1977,Estimated,Quarterly,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Permitted,No,Yes,No,No,,,C1,,40.68945,-124.23833,95551,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),3 Mi West Of Hwy 101 On Hookton Road,Indianola,CA,95551,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-CR-0001,Wildcat Illegal Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C3,,40.49694,-124.30945,95536,Humboldt,North Coast Unified,North Coast,Ferndale,2.2 Mi S Of Bear River Rd On Wildcat Rd,Ferndale,CA,95536,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-CR-0017,Willow Creek Burn Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,2/1/1975,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C3,,40.95192,-123.66353,95573,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),2 Mi Up Brannon Mountain Road,Willow Creek,CA,95573,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
13-AA-0004,Calexico Solid Waste Site,Solid Waste Landfill,No,Active,Permitted,Disposal,Solid Waste Facility,,III,2/1/2179,Estimated,Monthly,150,Tons per day,1561235,8/1/2019,3437800,Cubic Yards,82.8,40.1,40,MSL,22,BGL,Gina Weber,Active,Permitted,No,No,No,Yes,,,,1.10013E+11,32.6764,-115.54565,92231,Imperial,Imperial,Colorado River,Calexico,New River & Hwy 98,Calexico,CA,92231,County of Imperial,"Public Health Department,  Environmental Health Services",County of Imperial,"Public Health Department,  Environmental Health Services"
13-AA-0005,Ocotillo Solid Waste Site,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,III,1/31/2004,Estimated,Quarterly,,Tons per day,13680,6/20/2005,516267,Cubic Yards,40,5.3,,,,,Alfred Worcester,Closed,Permitted,No,Yes,No,Yes,,,C3,1.10018E+11,32.77389,-115.9999,92259,Imperial,Imperial,Colorado River,Imperial County (Unincorporated),Shell Canyon; 3 Mi Northwest Of Ocotillo,Ocotillo,CA,92259,County of Imperial,"Public Health Department,  Environmental Health Services",County of Imperial,"Public Health Department,  Environmental Health Services"
13-AA-0022,Monofill Facility,Solid Waste Landfill,No,Active,Permitted,Disposal,Solid Waste Facility,,II,1/31/2025,Estimated,Monthly,750,Tons per day,789644,3/1/2015,1729800,Cubic Yards,181.5,28.9,-59,MSL,39,BGL,Gina Weber,Active,Permitted,No,No,No,Yes,,,,1.10006E+11,33.08472,-115.82444,92227,Imperial,Imperial,Colorado River,Brawley,3301 West Highway 86,Brawley,CA,92227,County of Imperial,"Public Health Department,  Environmental Health Services",County of Imperial,"Public Health Department,  Environmental Health Services"
13-AA-0026,Mesquite Regional Landfill,Solid Waste Landfill,No,Active,Permitted,Disposal,Solid Waste Facility,,III,1/31/2122,Estimated,Monthly,20000,Tons per day,1100000000,5/6/2016,1100000000,Cubic Yards,4250,2290,1300,MSL,50,BGL,Gina Weber,Active,Permitted,No,No,No,Yes,,,,,33.05694,-114.99444,92227,Imperial,Imperial,Colorado River,Brawley,"6502 E Hwy 78, 5 Mi Northeast Of Glamis",Brawley,CA,92227,County of Imperial,"Public Health Department,  Environmental Health Services",County of Imperial,"Public Health Department,  Environmental Health Services"
13-CR-0025,Cruickshank Road - Imperial County Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,7/1/1979,Estimated,None,,,,,,,0,0,,,,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,D,,32.81167,-115.50027,92243,Imperial,Imperial,Colorado River,El Centro,Cruickshank Rd & Hwy 111 Nw,El Centro,CA,92243,County of Imperial,"Public Health Department,  Environmental Health Services",County of Imperial,"Public Health Department,  Environmental Health Services"
14-AA-0018,Louisiana Pacific Disposal Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,11/30/1988,Actual,None,0,Tons per day,0,,700000,Cubic Yards,40,1,0,,0,,Dawn Liang,Closed,Unpermitted,No,Yes,No,No,,,D,,35.81194,-117.8625,99999,Inyo,Great Basin Unified,Lahontan,Inyo County (Unincorporated),"Hwy 395, 10 Miles North Of Hwys 14 & 395",Little Lake,CA,99999,County of Inyo,Department of Envir. Health Services,County of Inyo,Department of Envir. Health Services
